栏目,发布时间,标题,来源媒体,摘要,URL
证券要闻,2025/8/26 23:41,特朗普出手！大涨！,证券时报,当地时间8月26日，特朗普媒体科技集团（DJT.O）宣布，与数字资产交易所Crypto以及SPAC上市企业约克维尔（Yorkville，代码：York.O）达成合并协议，将共同成立新公司TrumpMediaGroupCROStrategyInc。消息发布后，特朗普媒体科技集团周二开盘后涨幅一度超过8%，截至记者发稿，涨幅回落至4.7%。约克维尔公司股价则小幅上涨1%。,"http://finance.eastmoney.com/news/1354,202508263495353060.html"
证券要闻,2025/8/26 23:41,特朗普出手！大涨！,证券时报,当地时间8月26日，特朗普媒体科技集团（DJT.O）宣布，与数字资产交易所Crypto以及SPAC上市企业约克维尔（Yorkville，代码：York.O）达成合并协议，将共同成立新公司TrumpMediaGroupCROStrategyInc。消息发布后，特朗普媒体科技集团周二开盘后涨幅一度超过8%，截至记者发稿，涨幅回落至4.7%。约克维尔公司股价则小幅上涨1%。,"http://finance.eastmoney.com/news/1354,202508263495353060.html"
证券要闻,2025/8/26 23:24,保险预定利率下调“倒计时”！有产品已上新,中国证券报,【保险预定利率下调“倒计时”！有产品已上新】根据人身险产品预定利率与市场利率挂钩及动态调整机制，9月起，人身险产品预定利率即将下调。记者调研了解到，当前各家险企加快产品切换，有产品已陆续停售，也有部分险企选择在8月31日停售老产品。在停售老产品的同时，部分险企已推出新产品。,"http://finance.eastmoney.com/news/1353,202508263495348295.html"
证券要闻,2025/8/26 23:19,160亿元！万达、腾讯牵手,上海证券报,企查查信息显示，8月20日，万达、腾讯旗下公司在深圳投资设立深圳智薯投资合伙企业（有限合伙），该企业出资额为160.76亿元。8月21日，万达与京东旗下公司也成立了合伙公司，注册资本为80.53亿元。业内人士认为，万达与腾讯、京东合作的金额较大，体现出这些巨头在资本层面协同布局的决心。,"http://finance.eastmoney.com/news/1354,202508263495338917.html"
证券要闻,2025/8/26 23:19,中国国产操作系统，新突破,上海证券报,中国国产操作系统再次迎来升级。8月26日，在2025中国操作系统产业大会上，麒麟软件正式发布银河麒麟操作系统V11。作为国内首个基于6.6内核构建的商业版操作系统，该系统的发布标志着我国操作系统产业正式进入发展的新阶段。业内人士认为，操作系统底层架构的升级，为人工智能时代的创新发展奠定了坚实基础。,"http://finance.eastmoney.com/news/1353,202508263495338671.html"
证券要闻,2025/8/26 23:13,【中证快报】8月26日中证投资资讯,中国证券报·中证金牛座,【中证头条】国务院发文深入实施“人工智能+”行动据新华社报道，国务院印发《关于深入实施“人工智能+”行动的意见》。《意见》提出加快实施6大重点行动。一是“人工智能+”科学技术，加速科学发现进程，驱动技术研发模式创新和效能提升，创新哲学社会科学研究方法。二是“人工智能+”产业发展，培育智能原生新模式新业态，推进工业全要素智能化发展，加快农业数智化转型升级，创新服务业发展新模式。,"http://finance.eastmoney.com/news/1354,202508263495335821.html"
证券要闻,2025/8/26 23:09,聚焦AI 深圳国际电子展暨嵌入式展elexcon开幕,第一财经,8月26日，第22届深圳国际电子展暨嵌入式展（elexcon2025）在深圳（福田）会展中心开幕。展会首日，超过万名专业观众入场参观交流。,"http://finance.eastmoney.com/news/1353,202508263495348523.html"
证券要闻,2025/8/26 23:07,深夜，中国资产拉升！特朗普传来新消息,证券时报网,8月26日晚间，美股三大指数小幅低开。中国资产拉升，纳斯达克中国金龙指数涨超1%。新能源汽车中概股盘初走高，蔚来涨超10%，小鹏汽车涨超6%。亚朵涨超7%，禾赛科技涨近6%，贝壳涨超4%，阿里巴巴涨逾1%。回声星通信一度涨超80%美股回声星通信盘初飙涨，一度涨逾80%。报道称，美国电话电报公司已同意以约230亿美元的总价收购回声星通信持有的特定无线频谱许可证。礼来涨超3%。,"http://finance.eastmoney.com/news/1354,202508263495333945.html"
证券要闻,2025/8/26 23:41,特朗普出手！大涨！,证券时报,当地时间8月26日，特朗普媒体科技集团（DJT.O）宣布，与数字资产交易所Crypto以及SPAC上市企业约克维尔（Yorkville，代码：York.O）达成合并协议，将共同成立新公司TrumpMediaGroupCROStrategyInc。消息发布后，特朗普媒体科技集团周二开盘后涨幅一度超过8%，截至记者发稿，涨幅回落至4.7%。约克维尔公司股价则小幅上涨1%。,"http://finance.eastmoney.com/news/1354,202508263495353060.html"
证券要闻,2025/8/26 23:04,【中证十点半】东珠生态、南新制药，筹划重大资产重组；北方稀土上半年净利润大增超1951%,中国证券报·中证金牛座,【中证十点半】东珠生态、南新制药，筹划重大资产重组；北方稀土上半年净利润大增超1951%,"http://finance.eastmoney.com/news/1354,202508263495333034.html"
