栏目,发布时间,标题,来源媒体,摘要,URL,情感,置信度
证券要闻,2025-08-28 23:59:01,每天三分钟公告很轻松 | 300972 净利增长50358.8%,上海证券报,万辰集团等公司上半年净利增长逾10倍；寒武纪：预计2025年全年实现营业收入50亿元至70亿元；中环海陆：筹划公司控制权变更事项29日起停牌；芯原股份：筹划购买芯来智融股权29日起停牌；冰川网络和华胜天成业绩扭亏……今日看点▼聚焦一：万辰集团等公司上半年净利增长逾10倍万辰集团（300972）：披露半年报。,"http://finance.eastmoney.com/news/1354,202508283498425769.html",positive (stars 4 and 5),0.7063571214675903
证券要闻,2025-08-28 23:52:01,英伟达股价急跌，中概股、黄金拉升，人民币创9个多月新高,21世纪经济报道,北京时间8月28日晚，美股三大指数小幅高开后一度跳水，截至23:40，纳指、标普500指数翻红，道指仍有所下跌。多只绩优中概股上涨截至23:00左右，纳斯达克中国金龙指数涨约0.2%，爱奇艺、老虎证券、世纪互联涨幅居前，其中多家公司业绩报喜，如老虎证券二季度营收同比增长58.7%，创历史新高；世纪互联二季度营收同比增长22.1%。,"http://finance.eastmoney.com/news/1354,202508283498420187.html",positive (stars 4 and 5),0.7675924301147461
证券要闻,2025-08-28 23:34:19,上半年部分券商资管成绩单出炉 有机构规模增长23% 部分券商规模与利润“倒挂”,财联社,财联社8月28日讯（研究员王蔚）随着部分上市券商披露2025年半年报，券商资管业务的最新情况浮出水面。截至发稿日，共有18家上市券商公布半年报，不同机构间的资产管理规模与经营业绩呈现出明显的分化态势。券商资管产品总体来说有四种，分别为单一资管计划、集合资管计划、专项资管计划和公募基金。,"http://finance.eastmoney.com/news/1353,202508283498413230.html",positive (stars 4 and 5),0.8752543330192566
证券要闻,2025-08-28 23:33:59,银行半年报密集披露 理财业务表现不一 部分存续规模涨幅达17%,财联社,财联社8月28日讯（研究员李响）今日，浦发银行、杭州银行、中信银行等多家上市银行集中披露了半年度报告。半年报数据显示，受宏观经济环境、监管政策调整及市场竞争加剧等多重因素影响，银行理财业务呈现明显分化态势，拥有理财子公司的机构普遍实现规模增长，而部分未设立理财子公司的区域性银行则面临规模收缩压力。,"http://finance.eastmoney.com/news/1354,202508283498413086.html",positive (stars 4 and 5),0.866988480091095
证券要闻,2025-08-28 23:29:38,8月28日晚间重要公告集锦,上海证券报·中国证券网,冰川网络：上半年净利3.36亿元拟10派10元上证报中国证券网讯（记者骆民）冰川网络披露半年报。公司2025年上半年实现营业收入12.57亿元，同比增长4.21%；实现归属于上市公司股东的净利润3.36亿元，上年同期亏损5.15亿元；基本每股收益1.43元/股。公司2025年半年度利润分配预案为：向全体股东每10股派发现金红利10元（含税）。,"http://finance.eastmoney.com/news/1354,202508283498413182.html",positive (stars 4 and 5),0.7523121237754822
证券要闻,2025-08-28 23:28:37,多家银行宣布：下调存款利率！,每日经济新闻,据央视财经，近期，多家中小银行宣布下调人民币存款利率，降幅达10到20个基点。其中，江苏银行、南京银行等多家银行宣布调整3年期定期存款利率。南京银行北京某支行工作人员：上周五，三年期存款利率1.85%调成1.75%了。江苏银行北京某支行工作人员：三年期存款利率1.75%，之前三年期存款利率是1.85%，是上周三降的。,"http://finance.eastmoney.com/news/1354,202508283498411821.html","negative (stars 1, 2 and 3)",0.568645179271698
证券要闻,2025-08-28 23:28:19,5家亏损，2家净利下滑！新三板保险中介陷窘境,国际金融报,新三板保险中介业绩滑坡。据《国际金融报》记者统计，截至8月28日，共有8家新三板挂牌保险中介披露了2025年上半年的业绩数据，其中5家出现亏损，2家净利润同比下滑。事实上，我国保险中介市场虽然主体数量多、发展速度快，但整体发展模式较为粗放，竞争能力不强。,"http://finance.eastmoney.com/news/1354,202508283498411417.html",positive (stars 4 and 5),0.6072859168052673
证券要闻,2025-08-28 23:22:52,A股并购“芯”风暴：聚焦光刻机与GPU 谁欲“蛇吞象”谁又“玩飞了”,财联社,8月28日，主营业务为包装印刷的永吉股份（603058.SH）在停牌半个月后复牌，其股价在开盘后下跌10.02%。前一晚，公司公告终止对芯片公司南京特纳飞电子技术有限公司的收购。据过往公告，特纳飞是一家专注于数据存储主控芯片研发的企业，跟永吉股份的主营业务属于“八竿子打不着”的关系。,"http://finance.eastmoney.com/news/1354,202508283498407580.html",positive (stars 4 and 5),0.5022751092910767
证券要闻,2025-08-28 23:18:34,特朗普、鲍威尔 被起诉！,证券时报,美股三大指数小幅高开，道琼斯指数涨0.10%，标普500指数涨0.10%，纳斯达克综合指数涨0.27%。英伟达（Nvidia）股价由涨转跌。截至发稿，英伟达下跌近1%。英伟达2026财年第二季度财报显示，公司该季度营收持续增长，总营收达467亿美元，较去年同期增长56%。这一增长主要由人工智能（AI）主导的数据中心业务推动，该业务营收同比增幅同样达到56%，至411亿美元。,"http://finance.eastmoney.com/news/1354,202508283498406628.html",positive (stars 4 and 5),0.8813827633857727
证券要闻,2025-08-28 23:11:31,多路径出海 家居企业从“代工”向“品牌”转型,北京商报,8月28日，北京商报记者梳理多家家居企业半年报注意到，顾家家居、索菲亚、慕思股份、坚朗五金、好莱客在内等企业境外营收均实现不同程度增长。事实上，随着国内家居产业升级与全球消费需求回暖，国内家居品牌正在加速出海。,"http://finance.eastmoney.com/news/1354,202508283498404590.html",positive (stars 4 and 5),0.7630056738853455
证券要闻,2025-08-28 23:02:31,中国科技产业重塑资本市场：寒武纪超越茅台100多元，坐实A股新王,上观新闻,如果说寒武纪股价在8月27日对茅台的超越太过短暂，那么8月28日的再次超越就实至名归了。当日，寒武纪股价一路高涨，收盘报1587.91元/股，强势超越茅台收盘价1446.10元/股，坐稳A股新股王之位。寒武纪本轮股价大涨始于7月10日，从低点520.67元涨至8月28日的1587.91元，仅用了一个多月。如果按寒武纪的发行价64.39元计算，其在上市5年来已暴涨了20倍。,"http://finance.eastmoney.com/news/1354,202508283498402214.html",positive (stars 4 and 5),0.8414961695671082
证券要闻,2025-08-28 22:59:03,第三个3万亿！A股V型反弹 下一步如何布局？,国际金融报,8月28日，A股高开，上午窄幅震荡，午后一度跳水，但不久后拉升，走出V型行情。截至收盘，三大指数大涨。虽然仅2868只个股收涨，但市场交投氛围活跃，单日成交额本周内第三次突破3万亿元。受访人士表示，牛市常有急跌现象。展望后市，市场大概率延续震荡格局，但结构性行情依然值得期待。投资者可继续聚焦科技等核心板块，不过需注意把握交易节奏，密切关注量能变化及板块轮动节奏。,"http://finance.eastmoney.com/news/1353,202508283498511148.html",positive (stars 4 and 5),0.9115055799484253
证券要闻,2025-08-28 22:57:52,重庆A股34家上涨 国际复材、*ST惠程涨停,上游新闻,8月28日，78家重庆A股上市公司中有34家上涨。数据显示，国际复材以上涨19.97%（涨停）位居第一，旺成科技以上涨8.35%列涨幅第二，再升科技以上涨5.88%列涨幅第三，*ST惠程以上涨5.05%（涨停）列涨幅第六。国际复材以19.97%涨幅列第一国际复材报收7.87元，日涨幅19.97%（涨停），换手率20.66%，今年以来的涨幅112.70%。,"http://finance.eastmoney.com/news/1354,202508283498400193.html",positive (stars 4 and 5),0.891929566860199
证券要闻,2025-08-28 22:57:33,寒武纪股价超越茅台后 将给市场带来怎样的变局,上游新闻,周四（8月28日）A股上演精彩大逆转，科创板再度断层式领涨。值得一提的是，周三盘中7分钟股价反超贵州茅台的“寒武纪”，周四更是一路狂飙。具体来看：当天贵州茅台冲高回落报收于1446.10元，而寒武纪股价飙涨15.73%报收于1587.91元，超越幅度高达10%！同时，寒武纪的总市值也达到了6643.02亿元，断层式领衔科创板其他个股。,"http://finance.eastmoney.com/news/1354,202508283498398546.html",positive (stars 4 and 5),0.7008647918701172
证券要闻,2025-08-28 22:56:23,寒武纪登顶“股王” A股投资逻辑生变？,21世纪经济报道,近期市场突破3800点之后出现了震荡调整，A股市场资金也出现分歧。8月28日，A股上演V型反转。在科技股拉升带动下，中芯国际、寒武纪创新高，科创50指数大涨逾7%，同样创出新高。而贵州茅台、宁德时代当日收跌。近期资金从茅王、宁王撤退，转向中芯国际、寒武纪等为代表的新兴科技企业。,"http://finance.eastmoney.com/news/1354,202508283498399815.html",positive (stars 4 and 5),0.7508821487426758
证券要闻,2025-08-28 18:51:07,事关城市高质量发展 中央重磅文件对外公布,新华社,【中共中央 国务院发布关于推动城市高质量发展的意见】主要目标是：到2030年，现代化人民城市建设取得重要进展，适应城市高质量发展的政策制度不断完善，新旧动能加快转换，人居品质明显提升，绿色转型深入推进，安全基础有力夯实，文化魅力充分彰显，治理水平大幅提高；到2035年，现代化人民城市基本建成。,"http://finance.eastmoney.com/news/1345,202508283498107349.html",positive (stars 4 and 5),0.6594929695129395
证券要闻,2025-08-28 22:43:08,【中证十点半】寒武纪预计2025年营收50亿元至70亿元；万辰集团上半年净利润大增50359%,中国证券报·中证金牛座,【中证十点半】寒武纪预计2025年营收50亿元至70亿元；万辰集团上半年净利润大增50359%,"http://finance.eastmoney.com/news/1354,202508283498391650.html",positive (stars 4 and 5),0.8694220185279846
证券要闻,2025-08-28 22:41:16,芯原股份筹划购买芯来智融股权；“寒王”预计今年营收50亿元至70亿元丨公告精选,21世纪经济报道,今日焦点芯原股份：筹划购买芯来智融股权股票停牌芯原股份公告称，公司正在筹划以发行股份及支付现金的方式购买芯来智融半导体科技（上海）有限公司股权并募集配套资金。由于本次交易尚处于筹划阶段，且标的公司审计评估、交易金额、发行股份及支付现金比例等内容暂未确定，因此无法确定是否构成重大资产重组及关联交易。公司股票自2025年8月29日开市起开始停牌，预计停牌时间不超过10个交易日。,"http://finance.eastmoney.com/news/1354,202508283498390072.html",positive (stars 4 and 5),0.6348675489425659
